date,precio_alq_alicante,variación_mensual_alicante,variación_trimestral_alicante,variación_anual_alicante,precio_alq_alicante_normalizado
2006-01-01,9.0,0.0,0.0,0.0,100.0
2006-02-01,9.0,0.0,0.0,0.0,100.0
2006-03-01,9.0,0.0,0.0,0.0,100.0
2006-04-01,9.2,0.03,0.0,0.0,102.22222222222221
2006-05-01,8.8,-0.05,0.0,0.0,97.77777777777779
2006-06-01,8.3,-0.05,-0.07,0.0,92.22222222222223
2006-07-01,8.7,0.04,-0.06,0.0,96.66666666666666
2006-08-01,8.5,-0.02,-0.03,0.0,94.44444444444444
2006-09-01,8.1,-0.05,-0.03,0.0,89.99999999999999
2006-10-01,7.8,-0.03,-0.1,0.0,86.66666666666667
2006-11-01,7.5,-0.05,-0.12,0.0,83.33333333333334
2006-12-01,7.4,-0.01,-0.08,0.0,82.22222222222223
2007-01-01,7.5,0.01,-0.04,0.0,83.33333333333334
2007-02-01,7.3,-0.03,-0.03,0.0,81.11111111111111
2007-03-01,7.5,0.02,0.01,-0.17,83.33333333333334
2007-04-01,7.6,0.02,0.02,-0.17,84.44444444444444
2007-05-01,7.7,0.01,0.06,-0.12,85.55555555555556
2007-06-01,7.8,0.02,0.05,-0.06,86.66666666666667
2007-07-01,7.8,-0.01,0.02,-0.1,86.66666666666667
2007-08-01,7.7,-0.01,0.01,-0.09,85.55555555555556
2007-09-01,7.8,0.01,-0.01,-0.04,86.66666666666667
2007-10-01,7.6,-0.02,-0.02,-0.03,84.44444444444444
2007-11-01,7.4,-0.03,-0.05,-0.01,82.22222222222223
2007-12-01,7.3,-0.01,-0.06,-0.02,81.11111111111111
2008-01-01,7.2,-0.02,-0.05,-0.04,80.0
2008-02-01,7.2,-0.01,-0.03,-0.02,80.0
2008-03-01,7.2,0.01,-0.01,-0.03,80.0
2008-04-01,7.3,0.01,0.01,-0.05,81.11111111111111
2008-05-01,7.3,0.0,0.02,-0.06,81.11111111111111
2008-06-01,7.2,-0.01,0.0,-0.08,80.0
2008-07-01,7.3,0.01,0.0,-0.06,81.11111111111111
2008-08-01,7.3,0.0,0.0,-0.06,81.11111111111111
2008-09-01,7.1,-0.02,-0.01,-0.09,78.88888888888889
2008-10-01,6.9,-0.03,-0.05,-0.09,76.66666666666667
2008-11-01,6.9,0.0,-0.05,-0.07,76.66666666666667
2008-12-01,6.8,-0.02,-0.04,-0.07,75.55555555555556
2009-01-01,6.7,-0.01,-0.03,-0.07,74.44444444444444
2009-02-01,6.6,-0.01,-0.04,-0.07,73.33333333333333
2009-03-01,6.5,-0.02,-0.04,-0.09,72.22222222222221
2009-04-01,6.5,0.0,-0.03,-0.1,72.22222222222221
2009-05-01,6.6,0.01,-0.01,-0.1,73.33333333333333
2009-06-01,6.7,0.02,0.02,-0.07,74.44444444444444
2009-07-01,6.6,-0.01,0.01,-0.09,73.33333333333333
2009-08-01,6.6,0.0,0.0,-0.09,73.33333333333333
2009-09-01,6.6,0.0,-0.02,-0.08,73.33333333333333
2009-10-01,6.5,-0.01,-0.02,-0.06,72.22222222222221
2009-11-01,6.5,0.0,-0.02,-0.06,72.22222222222221
2009-12-01,6.4,-0.01,-0.03,-0.06,71.11111111111111
2010-01-01,6.4,0.0,-0.02,-0.05,71.11111111111111
2010-02-01,6.3,-0.01,-0.02,-0.04,70.0
