date,precio_alq_castellon,variación_mensual_castellon,variación_trimestral_castellon,variación_anual_castellon,precio_alq_castellon_normalizado
2006-01-01,7.8,0.0,0.0,0.0,100.0
2006-02-01,7.8,0.0,0.0,0.0,100.0
2006-03-01,7.8,0.0,0.0,0.0,100.0
2006-04-01,7.8,0.0,0.0,0.0,100.0
2006-05-01,7.8,0.0,0.0,0.0,100.0
2006-06-01,7.8,0.0,0.0,0.0,100.0
2006-07-01,7.8,0.0,0.0,0.0,100.0
2006-08-01,7.5,-0.04,0.0,0.0,96.15384615384616
2006-09-01,7.4,-0.01,0.0,0.0,94.87179487179488
2006-10-01,7.4,0.0,-0.06,0.0,94.87179487179488
2006-11-01,7.8,0.06,0.05,0.0,100.0
2006-12-01,7.7,-0.01,0.05,0.0,98.71794871794873
2007-01-01,7.4,-0.04,0.01,0.0,94.87179487179488
2007-02-01,7.2,-0.03,-0.08,0.0,92.3076923076923
2007-03-01,7.2,0.0,-0.07,0.0,92.3076923076923
2007-04-01,7.4,0.03,-0.01,0.0,94.87179487179488
2007-05-01,8.3,0.13,0.16,0.0,106.41025641025644
2007-06-01,7.8,-0.06,0.09,0.0,100.0
2007-07-01,8.2,0.05,0.12,0.05,105.12820512820514
2007-08-01,7.7,-0.06,-0.07,0.03,98.71794871794873
2007-09-01,8.0,0.03,0.02,0.08,102.56410256410258
2007-10-01,7.5,-0.06,-0.09,0.01,96.15384615384616
2007-11-01,7.3,-0.02,-0.05,-0.06,93.58974358974359
2007-12-01,7.1,-0.03,-0.1,-0.08,91.02564102564102
2008-01-01,7.2,0.01,-0.04,-0.03,92.3076923076923
2008-02-01,6.9,-0.05,-0.07,-0.05,88.46153846153847
2008-03-01,6.8,-0.02,-0.06,-0.06,87.17948717948718
2008-04-01,6.6,-0.02,-0.08,-0.1,84.61538461538461
2008-05-01,7.1,0.08,0.04,-0.15,91.02564102564102
2008-06-01,7.1,0.0,0.06,-0.09,91.02564102564102
2008-07-01,7.0,-0.02,0.05,-0.15,89.74358974358975
2008-08-01,6.7,-0.03,-0.05,-0.13,85.8974358974359
2008-09-01,6.6,-0.03,-0.08,-0.18,84.61538461538461
2008-10-01,6.5,-0.01,-0.07,-0.13,83.33333333333334
2008-11-01,6.4,-0.01,-0.05,-0.13,82.05128205128206
2008-12-01,6.4,0.0,-0.03,-0.11,82.05128205128206
2009-01-01,6.3,-0.02,-0.03,-0.13,80.76923076923077
2009-02-01,6.2,0.0,-0.02,-0.09,79.48717948717949
2009-03-01,6.4,0.02,0.0,-0.06,82.05128205128206
2009-04-01,6.4,0.01,0.03,-0.03,82.05128205128206
2009-05-01,6.3,-0.02,0.01,-0.11,80.76923076923077
2009-06-01,6.3,0.0,-0.01,-0.11,80.76923076923077
2009-07-01,6.3,0.0,-0.02,-0.09,80.76923076923077
2009-08-01,6.3,0.01,0.01,-0.06,80.76923076923077
2009-09-01,6.1,-0.04,-0.03,-0.07,78.2051282051282
2009-10-01,6.2,0.01,-0.02,-0.05,79.48717948717949
2009-11-01,6.1,-0.02,-0.04,-0.05,78.2051282051282
2009-12-01,6.1,0.0,-0.01,-0.05,78.2051282051282
2010-01-01,6.0,-0.02,-0.03,-0.05,76.92307692307693
2010-02-01,5.9,-0.01,-0.03,-0.06,75.64102564102565
2010-03-01,5.9,0.0,-0.03,-0.08,75.64102564102565
2010-04-01,5.9,0.0,-0.01,-0.08,75.64102564102565
2010-05-01,5.9,0.01,0.01,-0.06,75.64102564102565
2010-06-01,5.9,0.0,0.01,-0.06,75.64102564102565
2010-07-01,5.8,-0.02,-0.01,-0.08,74.35897435897436
2010-08-01,5.6,-0.03,-0.05,-0.11,71.7948717948718
2010-09-01,5.7,0.01,-0.04,-0.07,73.07692307692308
2010-10-01,5.7,0.0,-0.03,-0.08,73.07692307692308
2010-11-01,5.6,-0.01,-0.01,-0.08,71.7948717948718
2010-12-01,5.6,0.0,-0.01,-0.08,71.7948717948718
2011-01-01,5.5,-0.01,-0.02,-0.07,70.51282051282051
2011-02-01,5.4,-0.01,-0.02,-0.08,69.23076923076924
2011-03-01,5.4,0.0,-0.03,-0.08,69.23076923076924
2011-04-01,5.4,-0.01,-0.02,-0.08,69.23076923076924
2011-05-01,5.4,0.0,-0.01,-0.09,69.23076923076924
2011-06-01,5.4,0.0,-0.01,-0.09,69.23076923076924
2011-07-01,5.4,0.0,0.0,-0.07,69.23076923076924
2011-08-01,5.4,0.0,-0.01,-0.05,69.23076923076924
2011-09-01,5.4,0.01,0.0,-0.05,69.23076923076924
2011-10-01,5.4,0.0,0.01,-0.04,69.23076923076924
2011-11-01,5.4,-0.01,0.0,-0.04,69.23076923076924
2011-12-01,5.3,-0.01,-0.02,-0.05,67.94871794871796
2012-01-01,5.3,-0.01,-0.03,-0.05,67.94871794871796
2012-02-01,5.2,-0.01,-0.03,-0.04,66.66666666666667
2012-03-01,5.2,0.0,-0.02,-0.04,66.66666666666667
2012-04-01,5.3,0.01,0.01,-0.02,67.94871794871796
2012-05-01,5.2,-0.01,0.0,-0.04,66.66666666666667
2012-06-01,5.1,-0.01,-0.01,-0.05,65.38461538461539
2012-07-01,5.1,0.0,-0.03,-0.05,65.38461538461539
2012-08-01,5.1,-0.01,-0.03,-0.06,65.38461538461539
2012-09-01,5.0,-0.01,-0.03,-0.07,64.1025641025641
2012-10-01,4.9,-0.02,-0.04,-0.09,62.82051282051283
2012-11-01,4.9,-0.01,-0.04,-0.09,62.82051282051283
2012-12-01,4.9,-0.01,-0.03,-0.08,62.82051282051283
2013-01-01,4.9,0.0,-0.01,-0.07,62.82051282051283
2013-02-01,4.8,-0.01,-0.01,-0.07,61.53846153846154
2013-03-01,4.8,-0.01,-0.02,-0.08,61.53846153846154
2013-04-01,4.8,0.0,-0.02,-0.09,61.53846153846154
2013-05-01,4.8,0.01,-0.01,-0.08,61.53846153846154
2013-06-01,4.8,0.0,0.0,-0.07,61.53846153846154
2013-07-01,4.8,-0.01,0.0,-0.07,61.53846153846154
2013-08-01,4.7,0.0,-0.01,-0.07,60.25641025641026
2013-09-01,4.7,0.0,-0.01,-0.06,60.25641025641026
2013-10-01,4.7,0.0,-0.01,-0.04,60.25641025641026
2013-11-01,4.7,0.0,0.0,-0.04,60.25641025641026
2013-12-01,4.7,0.0,-0.01,-0.03,60.25641025641026
2014-01-01,4.7,-0.01,-0.02,-0.05,60.25641025641026
2014-02-01,4.7,0.0,-0.02,-0.04,60.25641025641026
2014-03-01,4.6,-0.02,-0.03,-0.04,58.97435897435898
2014-04-01,4.5,-0.01,-0.03,-0.05,57.6923076923077
2014-05-01,4.5,0.0,-0.03,-0.06,57.6923076923077
2014-06-01,4.6,0.01,0.0,-0.05,58.97435897435898
2014-07-01,4.6,0.0,0.01,-0.04,58.97435897435898
2014-08-01,4.6,0.0,0.01,-0.04,58.97435897435898
2014-09-01,4.6,0.0,0.01,-0.03,58.97435897435898
2014-10-01,4.6,0.0,0.0,-0.03,58.97435897435898
2014-11-01,4.5,-0.01,-0.01,-0.04,57.6923076923077
2014-12-01,4.6,0.01,0.0,-0.03,58.97435897435898
