date,precio_alq_valencia,variación_mensual_valencia,variación_trimestral_valencia,variación_anual_valencia,precio_alq_valencia_normalizado
2006-01-01,9.7,0.0,0.0,0.0,100.0
2006-02-01,9.7,0.0,0.0,0.0,100.0
2006-03-01,9.7,0.0,0.0,0.0,100.0
2006-04-01,9.7,0.0,0.0,0.0,100.0
2006-05-01,9.7,0.0,0.0,0.0,100.0
2006-06-01,9.7,0.0,0.0,0.0,100.0
2006-07-01,9.7,0.0,0.0,0.0,100.0
2006-08-01,9.7,0.0,0.0,0.0,100.0
2006-09-01,9.1,-0.06,0.0,0.0,93.81443298969072
2006-10-01,9.3,0.02,0.0,0.0,95.87628865979383
2006-11-01,9.0,-0.02,-0.07,0.0,92.78350515463917
2006-12-01,9.2,0.01,0.0,0.0,94.84536082474226
2007-01-01,8.9,-0.02,-0.04,0.0,91.75257731958763
2007-02-01,9.1,0.01,0.0,0.0,93.81443298969072
2007-03-01,8.8,-0.02,-0.03,0.0,90.72164948453609
2007-04-01,8.5,-0.04,-0.05,0.0,87.62886597938146
2007-05-01,7.7,-0.09,-0.15,0.0,79.38144329896907
2007-06-01,8.5,0.1,-0.04,0.0,87.62886597938146
2007-07-01,8.6,0.01,0.01,0.0,88.659793814433
2007-08-01,8.5,0.0,0.11,-0.12,87.62886597938146
2007-09-01,8.6,0.01,0.01,-0.06,88.659793814433
2007-10-01,8.2,-0.05,-0.04,-0.11,84.5360824742268
2007-11-01,7.9,-0.03,-0.07,-0.12,81.44329896907217
2007-12-01,8.1,0.03,-0.05,-0.11,83.50515463917526
2008-01-01,8.0,-0.02,-0.03,-0.11,82.47422680412372
2008-02-01,7.8,-0.03,-0.02,-0.14,80.41237113402062
2008-03-01,7.3,-0.06,-0.1,-0.17,75.25773195876289
2008-04-01,7.3,0.0,-0.09,-0.14,75.25773195876289
2008-05-01,7.2,-0.01,-0.07,-0.07,74.22680412371135
2008-06-01,7.5,0.05,0.03,-0.12,77.31958762886599
2008-07-01,7.3,-0.03,0.0,-0.15,75.25773195876289
2008-08-01,7.2,-0.01,0.0,-0.15,74.22680412371135
2008-09-01,7.0,-0.03,-0.07,-0.19,72.16494845360826
2008-10-01,7.0,0.01,-0.04,-0.14,72.16494845360826
2008-11-01,6.9,-0.02,-0.05,-0.13,71.13402061855672
2008-12-01,6.5,-0.05,-0.07,-0.2,67.01030927835052
2009-01-01,6.5,0.0,-0.07,-0.18,67.01030927835052
2009-02-01,6.5,0.0,-0.05,-0.16,67.01030927835052
2009-03-01,6.3,-0.03,-0.03,-0.14,64.94845360824742
2009-04-01,6.3,-0.01,-0.04,-0.14,64.94845360824742
2009-05-01,6.2,-0.02,-0.05,-0.14,63.917525773195884
2009-06-01,6.2,0.0,-0.02,-0.18,63.917525773195884
2009-07-01,6.3,0.01,0.0,-0.14,64.94845360824742
2009-08-01,6.3,0.0,0.01,-0.13,64.94845360824742
2009-09-01,6.2,-0.01,0.0,-0.11,63.917525773195884
2009-10-01,6.1,-0.01,-0.03,-0.13,62.88659793814433
2009-11-01,6.1,0.0,-0.03,-0.11,62.88659793814433
2009-12-01,6.1,0.0,-0.02,-0.07,62.88659793814433
2010-01-01,6.0,-0.02,-0.02,-0.08,61.855670103092784
2010-02-01,6.0,-0.01,-0.02,-0.09,61.855670103092784
2010-03-01,6.0,0.01,-0.02,-0.05,61.855670103092784
2010-04-01,6.0,0.0,0.0,-0.05,61.855670103092784
2010-05-01,6.0,0.0,0.01,-0.03,61.855670103092784
2010-06-01,5.9,-0.01,-0.01,-0.05,60.82474226804124
2010-07-01,6.0,0.01,0.0,-0.05,61.855670103092784
2010-08-01,5.8,-0.03,-0.03,-0.08,59.79381443298969
2010-09-01,5.7,-0.01,-0.03,-0.07,58.76288659793815
2010-10-01,5.7,0.0,-0.04,-0.07,58.76288659793815
2010-11-01,5.7,0.0,-0.01,-0.06,58.76288659793815
2010-12-01,5.7,-0.01,-0.01,-0.07,58.76288659793815
2011-01-01,5.6,-0.01,-0.02,-0.06,57.731958762886606
2011-02-01,5.6,0.0,-0.02,-0.06,57.731958762886606
2011-03-01,5.7,0.01,0.0,-0.06,58.76288659793815
2011-04-01,5.7,0.0,0.01,-0.06,58.76288659793815
2011-05-01,5.7,0.0,0.01,-0.06,58.76288659793815
2011-06-01,5.7,0.01,0.01,-0.03,58.76288659793815
2011-07-01,5.8,0.01,0.02,-0.03,59.79381443298969
2011-08-01,5.8,0.0,0.02,-0.01,59.79381443298969
2011-09-01,5.8,0.0,0.01,0.01,59.79381443298969
2011-10-01,5.8,0.01,0.01,0.02,59.79381443298969
2011-11-01,5.8,0.0,0.01,0.02,59.79381443298969
2011-12-01,5.8,-0.01,0.0,0.02,59.79381443298969
2012-01-01,5.8,0.0,-0.01,0.02,59.79381443298969
2012-02-01,5.7,0.0,-0.02,0.02,58.76288659793815
2012-03-01,5.7,0.0,-0.01,0.01,58.76288659793815
2012-04-01,5.7,0.0,0.0,0.01,58.76288659793815
2012-05-01,5.8,0.0,0.0,0.02,59.79381443298969
2012-06-01,5.8,0.0,0.01,0.01,59.79381443298969
2012-07-01,5.7,-0.01,-0.01,-0.01,58.76288659793815
2012-08-01,5.7,0.0,-0.01,-0.01,58.76288659793815
2012-09-01,5.6,-0.01,-0.02,-0.02,57.731958762886606
2012-10-01,5.6,-0.01,-0.02,-0.04,57.731958762886606
2012-11-01,5.6,0.0,-0.02,-0.05,57.731958762886606
2012-12-01,5.5,-0.01,-0.02,-0.04,56.70103092783506
2013-01-01,5.4,-0.01,-0.03,-0.05,55.67010309278352
2013-02-01,5.4,0.0,-0.03,-0.05,55.67010309278352
2013-03-01,5.4,-0.01,-0.02,-0.06,55.67010309278352
2013-04-01,5.4,0.0,-0.01,-0.06,55.67010309278352
2013-05-01,5.4,0.0,-0.01,-0.07,55.67010309278352
2013-06-01,5.4,0.01,0.0,-0.06,55.67010309278352
2013-07-01,5.4,-0.01,0.0,-0.06,55.67010309278352
2013-08-01,5.3,-0.01,-0.01,-0.07,54.639175257731964
2013-09-01,5.3,0.0,-0.02,-0.06,54.639175257731964
2013-10-01,5.3,0.0,-0.02,-0.05,54.639175257731964
2013-11-01,5.3,-0.01,-0.01,-0.06,54.639175257731964
2013-12-01,5.2,-0.01,-0.02,-0.05,53.60824742268042
2014-01-01,5.2,-0.01,-0.02,-0.05,53.60824742268042
2014-02-01,5.2,0.0,-0.01,-0.04,53.60824742268042
2014-03-01,5.2,0.0,0.0,-0.04,53.60824742268042
2014-04-01,5.3,0.02,0.02,-0.02,54.639175257731964
2014-05-01,5.2,-0.01,0.01,-0.03,53.60824742268042
2014-06-01,5.2,0.0,0.01,-0.03,53.60824742268042
2014-07-01,5.3,0.01,-0.01,-0.02,54.639175257731964
2014-08-01,5.3,0.01,0.02,0.0,54.639175257731964
2014-09-01,5.3,0.0,0.02,0.0,54.639175257731964
2014-10-01,5.3,-0.01,0.01,0.0,54.639175257731964
2014-11-01,5.3,0.0,-0.01,0.0,54.639175257731964
2014-12-01,5.3,0.0,-0.01,0.01,54.639175257731964
