date,grupos ecoicop,tipo de dato,total,ipc_normalizado
2006-01-01,Índice general,Variación mensual,-0.4,100
2006-02-01,Índice general,Variación mensual,0.0,99.6
2006-03-01,Índice general,Variación mensual,0.7,99.6
2006-04-01,Índice general,Variación mensual,1.4,100.29719999999999
2006-05-01,Índice general,Variación mensual,0.4,101.70136079999999
2006-06-01,Índice general,Variación mensual,0.2,102.10816624319999
2006-07-01,Índice general,Variación mensual,-0.6,102.31238257568639
2006-08-01,Índice general,Variación mensual,0.2,101.69850828023226
2006-09-01,Índice general,Variación mensual,-0.2,101.90190529679272
2006-10-01,Índice general,Variación mensual,0.4,101.69810148619914
2006-11-01,Índice general,Variación mensual,0.2,102.10489389214393
2006-12-01,Índice general,Variación mensual,0.3,102.30910367992823
2007-01-01,Índice general,Variación mensual,-0.7,102.61603099096801
2007-02-01,Índice general,Variación mensual,0.1,101.89771877403123
2007-03-01,Índice general,Variación mensual,0.8,101.99961649280526
2007-04-01,Índice general,Variación mensual,1.4,102.8156134247477
2007-05-01,Índice general,Variación mensual,0.3,104.25503201269416
2007-06-01,Índice general,Variación mensual,0.2,104.56779710873224
2007-07-01,Índice general,Variación mensual,-0.7,104.77693270294971
2007-08-01,Índice general,Variación mensual,0.1,104.04349417402906
2007-09-01,Índice general,Variación mensual,0.3,104.1475376682031
2007-10-01,Índice general,Variación mensual,1.3,104.4599802812077
2007-11-01,Índice general,Variación mensual,0.7,105.81796002486341
2007-12-01,Índice general,Variación mensual,0.4,106.55868574503745
2008-01-01,Índice general,Variación mensual,-0.6,106.98492048801761
2008-02-01,Índice general,Variación mensual,0.2,106.3430109650895
2008-03-01,Índice general,Variación mensual,0.9,106.55569698701969
2008-04-01,Índice general,Variación mensual,1.1,107.51469825990286
2008-05-01,Índice general,Variación mensual,0.7,108.69735994076179
2008-06-01,Índice general,Variación mensual,0.6,109.45824146034712
2008-07-01,Índice general,Variación mensual,-0.5,110.11499090910921
2008-08-01,Índice general,Variación mensual,-0.2,109.56441595456366
2008-09-01,Índice general,Variación mensual,0.0,109.34528712265453
2008-10-01,Índice general,Variación mensual,0.3,109.34528712265453
2008-11-01,Índice general,Variación mensual,-0.4,109.67332298402249
2008-12-01,Índice general,Variación mensual,-0.5,109.2346296920864
2009-01-01,Índice general,Variación mensual,-1.2,108.68845654362597
2009-02-01,Índice general,Variación mensual,0.0,107.38419506510246
2009-03-01,Índice general,Variación mensual,0.2,107.38419506510246
2009-04-01,Índice general,Variación mensual,1.0,107.59896345523266
2009-05-01,Índice general,Variación mensual,0.0,108.67495308978499
2009-06-01,Índice general,Variación mensual,0.4,108.67495308978499
2009-07-01,Índice general,Variación mensual,-0.9,109.10965290214413
2009-08-01,Índice general,Variación mensual,0.3,108.12766602602484
2009-09-01,Índice general,Variación mensual,-0.2,108.45204902410292
2009-10-01,Índice general,Variación mensual,0.7,108.23514492605472
2009-11-01,Índice general,Variación mensual,0.5,108.9927909405371
2009-12-01,Índice general,Variación mensual,0.0,109.53775489523979
2010-01-01,Índice general,Variación mensual,-1.0,109.53775489523979
2010-02-01,Índice general,Variación mensual,-0.2,108.44237734628739
2010-03-01,Índice general,Variación mensual,0.7,108.22549259159481
2010-04-01,Índice general,Variación mensual,1.1,108.98307103973598
2010-05-01,Índice general,Variación mensual,0.2,110.18188482117307
2010-06-01,Índice general,Variación mensual,0.2,110.40224859081542
2010-07-01,Índice general,Variación mensual,-0.4,110.62305308799705
2010-08-01,Índice general,Variación mensual,0.3,110.18056087564506
2010-09-01,Índice general,Variación mensual,0.1,110.51110255827199
2010-10-01,Índice general,Variación mensual,0.9,110.62161366083026
2010-11-01,Índice general,Variación mensual,0.5,111.61720818377773
2010-12-01,Índice general,Variación mensual,0.6,112.17529422469663
2011-01-01,Índice general,Variación mensual,-0.7,112.8483459900448
2011-02-01,Índice general,Variación mensual,0.1,112.05840756811449
2011-03-01,Índice general,Variación mensual,0.7,112.1704659756826
2011-04-01,Índice general,Variación mensual,1.2,112.95565923751238
2011-05-01,Índice general,Variación mensual,0.0,114.31112714836253
2011-06-01,Índice general,Variación mensual,-0.1,114.31112714836253
2011-07-01,Índice general,Variación mensual,-0.5,114.19681602121416
2011-08-01,Índice general,Variación mensual,0.1,113.62583194110809
2011-09-01,Índice general,Variación mensual,0.2,113.7394577730492
2011-10-01,Índice general,Variación mensual,0.8,113.9669366885953
2011-11-01,Índice general,Variación mensual,0.4,114.87867218210405
2011-12-01,Índice general,Variación mensual,0.1,115.33818687083247
2012-01-01,Índice general,Variación mensual,-1.1,115.4535250577033
2012-02-01,Índice general,Variación mensual,0.1,114.18353628206857
2012-03-01,Índice general,Variación mensual,0.7,114.29771981835064
2012-04-01,Índice general,Variación mensual,1.4,115.0978038570791
2012-05-01,Índice general,Variación mensual,-0.1,116.7091731110782
2012-06-01,Índice general,Variación mensual,-0.2,116.59246393796712
2012-07-01,Índice general,Variación mensual,-0.2,116.35927901009119
2012-08-01,Índice general,Variación mensual,0.6,116.126560452071
2012-09-01,Índice general,Variación mensual,1.0,116.82331981478343
2012-10-01,Índice general,Variación mensual,0.8,117.99155301293126
2012-11-01,Índice general,Variación mensual,-0.1,118.93548543703471
2012-12-01,Índice general,Variación mensual,0.1,118.81654995159768
2013-01-01,Índice general,Variación mensual,-1.3,118.93536650154928
2013-02-01,Índice general,Variación mensual,0.2,117.38920673702914
2013-03-01,Índice general,Variación mensual,0.4,117.6239851505032
2013-04-01,Índice general,Variación mensual,0.4,118.09448109110521
2013-05-01,Índice general,Variación mensual,0.2,118.56685901546963
2013-06-01,Índice general,Variación mensual,0.1,118.80399273350056
2013-07-01,Índice general,Variación mensual,-0.5,118.92279672623407
2013-08-01,Índice general,Variación mensual,0.3,118.32818274260289
2013-09-01,Índice general,Variación mensual,-0.2,118.6831672908307
2013-10-01,Índice general,Variación mensual,0.4,118.44580095624903
