date,smi,variacion_anual_smi,smi_normalizado
2006-09-01,570.6,0.0,100.0
2007-09-01,600.0,0.01052,105.15247108307044
2008-09-01,624.0,0.0104,109.35856992639326
2009-09-01,633.3,0.01015,110.98843322818087
2010-09-01,641.4,0.01013,112.4079915878023
2011-09-01,641.4,0.01,112.4079915878023
2012-09-01,645.3,0.01006,113.09148264984226
2013-09-01,645.3,0.01,113.09148264984226
2014-09-01,648.6,0.01005,113.66982124079917
2015-09-01,655.2,0.0101,114.82649842271293
2016-09-01,707.6,0.0108,124.00981423063442
2017-09-01,735.9,0.0104,128.9695057833859
2018-09-01,900.0,0.01223,157.72870662460568
2019-09-01,950.0,0.01056,166.4914125481949
2020-09-01,950.0,0.01,166.4914125481949
2021-09-01,965.0,0.01016,169.12022432527164
2022-09-01,965.0,0.01,169.12022432527164
