date,precio_vta_alicante,variacion_vta_mensual_alicante,variacion_vta_trimestral_alicante,variacion_vta_anual_alicante,precio_vta_alicante_normalizado
2006-01-01,1944,0.0,0.0,0.0,100.0
2006-02-01,1975,0.02,0.0,0.0,101.59465020576133
2006-03-01,1896,-0.04,0.0,0.0,97.53086419753086
2006-04-01,1871,-0.01,-0.04,0.0,96.2448559670782
2006-05-01,1776,-0.05,-0.1,0.0,91.35802469135803
2006-06-01,1808,0.02,-0.05,0.0,93.00411522633745
2006-07-01,1802,0.0,-0.04,0.0,92.6954732510288
2006-08-01,1804,0.0,0.02,0.0,92.79835390946502
2006-09-01,1842,0.02,0.02,0.0,94.75308641975309
2006-10-01,1804,-0.02,0.0,0.0,92.79835390946502
2006-11-01,1782,-0.01,-0.01,0.0,91.66666666666666
2006-12-01,1764,-0.01,-0.04,0.0,90.74074074074075
2007-01-01,1743,-0.01,-0.03,-0.1,89.6604938271605
2007-02-01,1778,0.02,0.0,-0.1,91.46090534979425
2007-03-01,1797,0.01,0.02,-0.05,92.43827160493827
2007-04-01,1703,-0.05,-0.02,-0.09,87.6028806584362
2007-05-01,1774,0.04,0.0,0.0,91.2551440329218
2007-06-01,1744,-0.02,-0.03,-0.04,89.7119341563786
2007-07-01,1740,0.0,0.02,-0.03,89.50617283950618
2007-08-01,1730,0.0,-0.02,-0.04,88.9917695473251
2007-09-01,1738,0.0,0.0,-0.06,89.40329218106996
2007-10-01,1762,0.01,0.01,-0.02,90.63786008230453
2007-11-01,1757,0.0,0.02,-0.01,90.38065843621399
2007-12-01,1737,-0.01,0.0,-0.01,89.35185185185185
2008-01-01,1699,-0.02,-0.04,-0.02,87.3971193415638
2008-02-01,1685,-0.01,-0.04,-0.05,86.6769547325103
2008-03-01,1703,0.01,-0.02,-0.05,87.6028806584362
2008-04-01,1701,0.0,0.0,0.0,87.5
2008-05-01,1712,0.01,0.02,-0.04,88.06584362139918
2008-06-01,1697,-0.01,0.0,-0.03,87.29423868312757
2008-07-01,1679,-0.01,-0.01,-0.04,86.36831275720165
2008-08-01,1663,-0.01,-0.03,-0.04,85.54526748971193
2008-09-01,1689,0.02,0.0,-0.03,86.88271604938271
2008-10-01,1686,0.0,0.0,-0.04,86.72839506172839
2008-11-01,1674,-0.01,0.01,-0.05,86.11111111111111
2008-12-01,1659,-0.01,-0.02,-0.04,85.3395061728395
2009-01-01,1683,0.02,0.0,-0.01,86.57407407407408
2009-02-01,1652,-0.02,-0.01,-0.02,84.97942386831275
2009-03-01,1644,0.0,-0.01,-0.04,84.5679012345679
2009-04-01,1637,0.0,-0.03,-0.04,84.20781893004116
2009-05-01,1622,-0.01,-0.02,-0.05,83.43621399176955
2009-06-01,1608,-0.01,-0.02,-0.05,82.71604938271605
2009-07-01,1616,0.01,-0.01,-0.04,83.1275720164609
2009-08-01,1602,-0.01,-0.01,-0.04,82.4074074074074
2009-09-01,1594,0.0,-0.01,-0.06,81.99588477366255
2009-10-01,1588,0.0,-0.02,-0.06,81.6872427983539
2009-11-01,1560,-0.02,-0.03,-0.07,80.24691358024691
2009-12-01,1546,-0.01,-0.03,-0.07,79.52674897119341
2010-01-01,1538,0.0,-0.03,-0.09,79.11522633744856
2010-02-01,1535,0.0,-0.02,-0.07,78.96090534979425
