date,precio_vta_castellon,variacion_vta_mensual_castellon,variacion_vta_trimestral_castellon,variacion_vta_anual_castellon,precio_vta_castellon_normalizado
2006-09-01,1532,0.0,0.0,0.0,100.0
2006-10-01,1680,0.1,0.0,0.0,109.66057441253263
2006-11-01,1658,-0.01,0.0,0.0,108.22454308093994
2006-12-01,1555,-0.06,0.02,0.0,101.50130548302872
2007-01-01,1583,0.02,-0.06,0.0,103.32898172323759
2007-02-01,1617,0.02,-0.02,0.0,105.54830287206268
2007-03-01,1794,0.11,0.15,0.0,117.1018276762402
2007-04-01,1703,-0.05,0.08,0.0,111.16187989556137
2007-05-01,1816,0.07,0.12,0.0,118.53785900783289
2007-06-01,1842,0.01,0.03,0.0,120.23498694516972
2007-07-01,1896,0.03,0.11,0.0,123.7597911227154
2007-08-01,1783,-0.06,-0.02,0.0,116.38381201044385
2007-09-01,1828,0.03,-0.01,0.19,119.32114882506528
2007-10-01,1818,0.0,-0.04,0.08,118.66840731070496
2007-11-01,1737,-0.04,-0.03,0.05,113.38120104438643
2007-12-01,1684,-0.03,-0.08,0.08,109.92167101827677
2008-01-01,1774,0.05,-0.02,0.12,115.79634464751958
2008-02-01,1727,-0.03,-0.01,0.07,112.7284595300261
2008-03-01,1772,0.03,0.05,-0.01,115.6657963446475
2008-04-01,1733,-0.02,-0.02,0.02,113.12010443864229
2008-05-01,1770,0.02,0.03,-0.02,115.53524804177546
2008-06-01,1732,-0.02,-0.02,-0.06,113.05483028720627
2008-07-01,1726,0.0,0.0,-0.09,112.66318537859009
2008-08-01,1687,-0.02,-0.05,-0.05,110.11749347258485
2008-09-01,1682,0.0,-0.03,-0.08,109.7911227154047
2008-10-01,1723,0.02,0.0,-0.05,112.46736292428199
2008-11-01,1735,0.01,0.03,0.0,113.25065274151436
2008-12-01,1714,-0.01,0.02,0.02,111.87989556135771
2009-01-01,1699,-0.01,-0.01,-0.04,110.90078328981723
2009-02-01,1694,0.0,-0.02,-0.02,110.57441253263707
2009-03-01,1718,0.01,0.0,-0.03,112.14099216710183
2009-04-01,1696,-0.01,0.0,-0.02,110.70496083550914
2009-05-01,1710,0.01,0.01,-0.03,111.61879895561357
2009-06-01,1688,-0.01,-0.02,-0.03,110.18276762402088
2009-07-01,1712,0.01,0.01,-0.01,111.74934725848564
2009-08-01,1668,-0.03,-0.02,-0.01,108.87728459530027
