date,precio_vta_valencia,variacion_vta_mensual_valencia,variacion_vta_trimetral_valencia,variacion_vta_anual_valencia,precio_vta_valencia_normalizado
2006-01-01,1580,0.0,0.0,0.0,100.0
2006-02-01,1580,0.0,0.0,0.0,100.0
2006-03-01,1585,0.0,0.0,0.0,100.31645569620254
2006-04-01,1763,0.11,0.0,0.0,111.58227848101265
2006-05-01,1806,0.03,0.0,0.0,114.30379746835445
2006-06-01,1784,-0.01,0.13,0.0,112.9113924050633
2006-07-01,1796,0.01,0.02,0.0,113.67088607594937
2006-08-01,1717,-0.04,-0.05,0.0,108.67088607594937
2006-09-01,1720,0.0,-0.04,0.0,108.86075949367088
2006-10-01,1886,0.1,0.05,0.0,119.36708860759492
2006-11-01,1803,-0.04,0.05,0.0,114.11392405063292
2006-12-01,1823,0.01,0.06,0.0,115.37974683544303
2007-01-01,1766,-0.03,-0.06,0.0,111.77215189873418
2007-02-01,1764,0.0,-0.02,0.0,111.64556962025316
2007-03-01,1763,0.0,-0.03,0.11,111.58227848101265
2007-04-01,1726,-0.02,-0.02,-0.02,109.24050632911393
2007-05-01,1762,0.02,0.0,-0.02,111.51898734177215
2007-06-01,1771,0.01,0.0,-0.01,112.0886075949367
2007-07-01,1741,-0.02,0.01,-0.03,110.18987341772153
2007-08-01,1720,-0.01,-0.02,0.0,108.86075949367088
2007-09-01,1759,0.02,-0.01,0.02,111.32911392405063
2007-10-01,1796,0.02,0.03,-0.05,113.67088607594937
2007-11-01,1802,0.0,0.05,0.0,114.05063291139241
2007-12-01,1776,-0.01,0.01,-0.03,112.40506329113924
2008-01-01,1775,0.0,-0.01,0.01,112.34177215189874
2008-02-01,1769,0.0,-0.02,0.0,111.9620253164557
2008-03-01,1770,0.0,0.0,0.0,112.0253164556962
2008-04-01,1777,0.0,0.0,0.03,112.46835443037975
2008-05-01,1745,-0.02,-0.01,-0.01,110.44303797468353
2008-06-01,1748,0.0,-0.01,-0.01,110.63291139240505
2008-07-01,1737,-0.01,-0.02,0.0,109.9367088607595
2008-08-01,1701,-0.02,-0.03,-0.01,107.65822784810126
2008-09-01,1707,0.0,-0.02,-0.03,108.0379746835443
2008-10-01,1693,-0.01,-0.02,-0.06,107.15189873417721
2008-11-01,1689,0.0,-0.01,-0.06,106.89873417721518
2008-12-01,1668,-0.01,-0.02,-0.06,105.56962025316456
2009-01-01,1670,0.0,-0.01,-0.06,105.69620253164558
2009-02-01,1668,0.0,-0.01,-0.06,105.56962025316456
2009-03-01,1658,-0.01,-0.01,-0.06,104.9367088607595
2009-04-01,1664,0.0,0.0,-0.06,105.31645569620254
2009-05-01,1653,-0.01,-0.01,-0.05,104.62025316455697
2009-06-01,1634,-0.01,-0.01,-0.06,103.41772151898734
2009-07-01,1618,-0.01,-0.03,-0.07,102.40506329113923
2009-08-01,1595,-0.01,-0.04,-0.06,100.9493670886076
2009-09-01,1593,0.0,-0.02,-0.07,100.82278481012659
2009-10-01,1581,-0.01,-0.02,-0.07,100.0632911392405
2009-11-01,1577,0.0,-0.01,-0.07,99.81012658227849
2009-12-01,1566,-0.01,-0.02,-0.06,99.1139240506329
2010-01-01,1560,0.0,-0.01,-0.07,98.73417721518987
2010-02-01,1555,0.0,-0.01,-0.07,98.41772151898735
2010-03-01,1557,0.0,-0.01,-0.06,98.54430379746836
2010-04-01,1573,0.01,0.01,-0.05,99.55696202531645
2010-05-01,1580,0.0,0.02,-0.04,100.0
2010-06-01,1564,-0.01,0.01,-0.04,98.9873417721519
2010-07-01,1549,-0.01,-0.01,-0.04,98.0379746835443
2010-08-01,1528,-0.01,-0.03,-0.04,96.70886075949367
2010-09-01,1524,0.0,-0.03,-0.04,96.45569620253166
2010-10-01,1543,0.01,0.0,-0.02,97.65822784810126
