date,Comunidades y ciudades autonomas de origen,Total,el_bicho_a_dividir,normalized_migration
2008-08-01,Andalucia,6215.0,6215.0,100.0
2008-08-01,Aragon,2044.0,2044.0,100.0
2008-08-01,Canarias,1842.0,1842.0,100.0
2008-08-01,Cantabria,286.0,286.0,100.0
2008-08-01,Castilla - La Mancha,4729.0,4729.0,100.0
2008-08-01,Castilla y Leon,2099.0,2099.0,100.0
2008-08-01,Cataluna,7141.0,7141.0,100.0
2008-08-01,Ceuta,95.0,95.0,100.0
2008-08-01,Comunidad Foral de Navarra,359.0,359.0,100.0
2008-08-01,Comunidad Madrid de,7929.0,7929.0,100.0
2008-08-01,Comunidad Valenciana,0.0,0.0,
2008-08-01,Extremadura,583.0,583.0,100.0
2008-08-01,Galicia,1036.0,1036.0,100.0
2008-08-01,Islas Balears,2086.0,2086.0,100.0
2008-08-01,La Rioja,288.0,288.0,100.0
2008-08-01,Melilla,164.0,164.0,100.0
2008-08-01,Pais Vasco,930.0,930.0,100.0
2008-08-01,Principado de Asturias,559.0,559.0,100.0
2008-08-01,Region de Murcia,4400.0,4400.0,100.0
2009-08-01,Andalucia,4877.0,6215.0,78.47144006436042
2009-08-01,Aragon,2108.0,2044.0,103.13111545988258
2009-08-01,Canarias,1620.0,1842.0,87.94788273615634
2009-08-01,Cantabria,291.0,286.0,101.74825174825175
2009-08-01,Castilla - La Mancha,4326.0,4729.0,91.47811376612391
2009-08-01,Castilla y Leon,1941.0,2099.0,92.4726060028585
2009-08-01,Cataluna,6744.0,7141.0,94.44055454418148
2009-08-01,Ceuta,67.0,95.0,70.52631578947368
2009-08-01,Comunidad Foral de Navarra,317.0,359.0,88.3008356545961
2009-08-01,Comunidad Madrid de,6740.0,7929.0,85.00441417581031
2009-08-01,Comunidad Valenciana,0.0,0.0,
2009-08-01,Extremadura,470.0,583.0,80.61749571183533
2009-08-01,Galicia,967.0,1036.0,93.33976833976834
2009-08-01,Islas Balears,2090.0,2086.0,100.19175455417067
2009-08-01,La Rioja,257.0,288.0,89.23611111111111
2009-08-01,Melilla,107.0,164.0,65.2439024390244
2009-08-01,Pais Vasco,894.0,930.0,96.12903225806451
2009-08-01,Principado de Asturias,504.0,559.0,90.16100178890876
2009-08-01,Region de Murcia,3859.0,4400.0,87.70454545454545
2010-08-01,Andalucia,5046.0,6215.0,81.1906677393403
2010-08-01,Aragon,2176.0,2044.0,106.45792563600781
2010-08-01,Canarias,1602.0,1842.0,86.97068403908796
2010-08-01,Cantabria,306.0,286.0,106.993006993007
2010-08-01,Castilla - La Mancha,4453.0,4729.0,94.16367096637767
2010-08-01,Castilla y Leon,1955.0,2099.0,93.13959028108623
2010-08-01,Cataluna,6589.0,7141.0,92.26999019745134
2010-08-01,Ceuta,97.0,95.0,102.10526315789474
2010-08-01,Comunidad Foral de Navarra,376.0,359.0,104.73537604456824
2010-08-01,Comunidad Madrid de,6808.0,7929.0,85.86202547610038
2010-08-01,Comunidad Valenciana,0.0,0.0,
2010-08-01,Extremadura,503.0,583.0,86.27787307032591
2010-08-01,Galicia,1029.0,1036.0,99.32432432432432
2010-08-01,Islas Balears,2132.0,2086.0,102.20517737296262
2010-08-01,La Rioja,285.0,288.0,98.95833333333334
2010-08-01,Melilla,164.0,164.0,100.0
2010-08-01,Pais Vasco,932.0,930.0,100.21505376344086
2010-08-01,Principado de Asturias,591.0,559.0,105.72450805008944
2010-08-01,Region de Murcia,3796.0,4400.0,86.27272727272727
2011-08-01,Andalucia,5059.0,6215.0,81.39983909895415
2011-08-01,Aragon,2004.0,2044.0,98.04305283757338
2011-08-01,Canarias,1514.0,1842.0,82.19326818675353
2011-08-01,Cantabria,274.0,286.0,95.8041958041958
2011-08-01,Castilla - La Mancha,4307.0,4729.0,91.07633749207021
2011-08-01,Castilla y Leon,1824.0,2099.0,86.89852310624107
2011-08-01,Cataluna,6269.0,7141.0,87.78882509452458
2011-08-01,Ceuta,95.0,95.0,100.0
2011-08-01,Comunidad Foral de Navarra,350.0,359.0,97.49303621169916
2011-08-01,Comunidad Madrid de,6507.0,7929.0,82.06583427922814
2011-08-01,Comunidad Valenciana,0.0,0.0,
2011-08-01,Extremadura,557.0,583.0,95.54030874785592
2011-08-01,Galicia,1022.0,1036.0,98.64864864864865
2011-08-01,Islas Balears,2092.0,2086.0,100.287631831256
2011-08-01,La Rioja,312.0,288.0,108.33333333333333
2011-08-01,Melilla,139.0,164.0,84.7560975609756
2011-08-01,Pais Vasco,906.0,930.0,97.41935483870968
2011-08-01,Principado de Asturias,583.0,559.0,104.29338103756709
2011-08-01,Region de Murcia,3782.0,4400.0,85.95454545454545
2012-08-01,Andalucia,4959.0,6215.0,79.79082864038615
2012-08-01,Aragon,2048.0,2044.0,100.19569471624266
2012-08-01,Canarias,1238.0,1842.0,67.20955483170466
2012-08-01,Cantabria,240.0,286.0,83.91608391608392
2012-08-01,Castilla - La Mancha,4971.0,4729.0,105.11736096426306
2012-08-01,Castilla y Leon,1843.0,2099.0,87.80371605526442
2012-08-01,Cataluna,6149.0,7141.0,86.10838818092704
2012-08-01,Ceuta,81.0,95.0,85.26315789473684
2012-08-01,Comunidad Foral de Navarra,393.0,359.0,109.47075208913648
2012-08-01,Comunidad Madrid de,6075.0,7929.0,76.61748013620885
2012-08-01,Comunidad Valenciana,0.0,0.0,
2012-08-01,Extremadura,558.0,583.0,95.71183533447685
2012-08-01,Galicia,1024.0,1036.0,98.84169884169884
2012-08-01,Islas Balears,2027.0,2086.0,97.17162032598274
2012-08-01,La Rioja,280.0,288.0,97.22222222222221
2012-08-01,Melilla,109.0,164.0,66.46341463414635
2012-08-01,Pais Vasco,876.0,930.0,94.19354838709677
2012-08-01,Principado de Asturias,611.0,559.0,109.30232558139534
2012-08-01,Region de Murcia,3611.0,4400.0,82.06818181818181
2013-08-01,Andalucia,4748.0,6215.0,76.39581657280773
2013-08-01,Aragon,1870.0,2044.0,91.48727984344423
2013-08-01,Canarias,1107.0,1842.0,60.09771986970684
2013-08-01,Cantabria,272.0,286.0,95.1048951048951
2013-08-01,Castilla - La Mancha,4644.0,4729.0,98.20257982660182
2013-08-01,Castilla y Leon,1909.0,2099.0,90.94807050976655
2013-08-01,Cataluna,5722.0,7141.0,80.12883349670913
2013-08-01,Ceuta,54.0,95.0,56.84210526315789
2013-08-01,Comunidad Foral de Navarra,420.0,359.0,116.99164345403901
2013-08-01,Comunidad Madrid de,6197.0,7929.0,78.15613570437634
2013-08-01,Comunidad Valenciana,0.0,0.0,
2013-08-01,Extremadura,495.0,583.0,84.90566037735849
2013-08-01,Galicia,994.0,1036.0,95.94594594594594
2013-08-01,Islas Balears,1721.0,2086.0,82.50239693192714
2013-08-01,La Rioja,243.0,288.0,84.375
2013-08-01,Melilla,124.0,164.0,75.60975609756098
2013-08-01,Pais Vasco,949.0,930.0,102.04301075268818
2013-08-01,Principado de Asturias,548.0,559.0,98.03220035778175
2013-08-01,Region de Murcia,3346.0,4400.0,76.04545454545455
2014-08-01,Andalucia,4784.0,6215.0,76.9750603378922
2014-08-01,Aragon,1852.0,2044.0,90.60665362035225
2014-08-01,Canarias,1305.0,1842.0,70.84690553745928
2014-08-01,Cantabria,321.0,286.0,112.23776223776223
2014-08-01,Castilla - La Mancha,4363.0,4729.0,92.2605201945443
2014-08-01,Castilla y Leon,1760.0,2099.0,83.84945212005717
2014-08-01,Cataluna,5372.0,7141.0,75.227559165383
2014-08-01,Ceuta,103.0,95.0,108.42105263157895
2014-08-01,Comunidad Foral de Navarra,296.0,359.0,82.45125348189416
2014-08-01,Comunidad Madrid de,5914.0,7929.0,74.58695926346324
2014-08-01,Comunidad Valenciana,0.0,0.0,
2014-08-01,Extremadura,613.0,583.0,105.1457975986278
