date,precio_alq_castellon,variación_mensual_castellon,variación_trimestral_castellon,variación_anual_castellon
2022-09-01,7.1,-0.05,-0.01,0.11
2022-08-01,7.4,0.0,0.07,0.16
2022-07-01,7.5,0.04,0.1,0.17
2022-06-01,7.2,0.03,0.09,0.13
2022-05-01,7.0,0.03,0.08,0.12
2022-04-01,6.8,0.03,0.06,0.11
2022-03-01,6.6,0.02,0.03,0.08
2022-02-01,6.5,0.01,0.02,0.06
2022-01-01,6.4,0.01,0.0,0.05
2021-12-01,6.3,0.0,0.0,0.04
2021-11-01,6.3,-0.01,-0.02,0.04
2021-10-01,6.4,0.01,0.0,0.05
2021-09-01,6.4,-0.01,0.01,0.04
2021-08-01,6.4,0.01,0.04,0.03
2021-07-01,6.4,0.01,0.05,0.01
2021-06-01,6.3,0.02,0.04,0.02
2021-05-01,6.2,0.01,0.02,0.0
2021-04-01,6.1,0.01,0.0,0.01
2021-03-01,6.1,0.0,-0.01,0.0
2021-02-01,6.1,-0.01,-0.01,0.07
2021-01-01,6.1,0.0,0.01,0.08
2020-12-01,6.1,0.0,0.01,0.06
2020-11-01,6.1,0.01,-0.02,0.05
2020-10-01,6.1,0.0,-0.04,0.05
2020-09-01,6.1,-0.03,-0.02,0.03
2020-08-01,6.3,-0.01,0.02,0.04
2020-07-01,6.3,0.02,0.04,0.06
2020-06-01,6.2,0.01,0.03,0.06
2020-05-01,6.2,0.01,0.09,0.1
2020-04-01,6.1,0.01,0.08,0.11
2020-03-01,6.0,0.07,0.04,0.13
2020-02-01,5.7,0.01,-0.02,0.08
2020-01-01,5.6,-0.03,-0.03,0.08
2019-12-01,5.8,-0.01,-0.02,0.1
2019-11-01,5.8,0.0,-0.03,0.09
2019-10-01,5.8,-0.01,-0.03,0.08
2019-09-01,5.9,-0.02,0.0,0.07
2019-08-01,6.0,0.0,0.07,0.08
2019-07-01,6.0,0.02,0.09,0.09
2019-06-01,5.9,0.05,0.1,0.1
2019-05-01,5.6,0.02,0.07,0.09
2019-04-01,5.5,0.02,0.05,0.09
2019-03-01,5.4,0.02,0.02,0.07
2019-02-01,5.3,0.01,-0.01,-0.01
2019-01-01,5.2,-0.01,-0.03,-0.16
2018-12-01,5.3,-0.01,-0.05,-0.16
2018-11-01,5.3,-0.01,-0.05,-0.18
2018-10-01,5.4,-0.02,-0.02,-0.1
2018-09-01,5.5,-0.01,0.03,0.13
2018-08-01,5.6,0.02,0.08,0.13
2018-07-01,5.5,0.03,0.09,0.09
2018-06-01,5.4,0.04,0.07,0.08
2018-05-01,5.2,0.03,-0.03,0.06
2018-04-01,5.0,0.0,-0.19,0.04
2018-03-01,5.0,-0.06,-0.2,0.05
2018-02-01,5.3,-0.14,-0.18,0.12
2018-01-01,6.2,-0.01,0.04,0.29
2017-12-01,6.3,-0.03,0.28,0.31
2017-11-01,6.5,0.09,0.31,0.33
2017-10-01,6.0,0.22,0.19,0.23
2017-09-01,4.9,-0.01,-0.01,0.01
2017-08-01,5.0,-0.01,0.02,0.02
2017-07-01,5.0,0.02,0.04,0.04
2017-06-01,5.0,0.02,0.04,0.03
2017-05-01,4.9,0.01,0.03,0.03
2017-04-01,4.8,0.01,0.0,0.04
2017-03-01,4.8,0.01,-0.01,0.04
2017-02-01,4.8,-0.01,-0.03,0.03
2017-01-01,4.8,0.0,-0.01,0.05
2016-12-01,4.8,-0.01,-0.01,0.06
2016-11-01,4.9,0.01,0.0,0.08
2016-10-01,4.8,0.0,0.0,0.07
2016-09-01,4.8,0.0,0.01,0.06
2016-08-01,4.9,0.0,0.03,0.07
2016-07-01,4.8,0.01,0.05,0.06
2016-06-01,4.8,0.02,0.05,0.05
2016-05-01,4.7,0.02,0.03,0.04
2016-04-01,4.6,0.01,0.02,0.04
2016-03-01,4.6,0.0,0.01,0.02
2016-02-01,4.6,0.01,0.01,0.01
2016-01-01,4.6,0.01,0.01,0.0
2015-12-01,4.5,0.0,-0.01,-0.02
2015-11-01,4.5,0.0,0.0,0.0
2015-10-01,4.5,-0.01,-0.01,-0.01
2015-09-01,4.6,0.01,0.0,0.0
2015-08-01,4.5,-0.01,0.0,-0.01
2015-07-01,4.6,0.0,0.02,0.01
2015-06-01,4.6,0.01,0.02,0.0
2015-05-01,4.5,0.01,0.0,0.01
2015-04-01,4.5,0.0,-0.02,-0.01
2015-03-01,4.5,-0.02,-0.03,-0.02
2015-02-01,4.6,0.0,0.01,-0.02
2015-01-01,4.6,-0.01,0.0,-0.02
2014-12-01,4.6,0.01,0.0,-0.03
2014-11-01,4.5,-0.01,-0.01,-0.04
2014-10-01,4.6,0.0,0.0,-0.03
2014-09-01,4.6,0.0,0.01,-0.03
2014-08-01,4.6,0.0,0.01,-0.04
2014-07-01,4.6,0.0,0.01,-0.04
2014-06-01,4.6,0.01,0.0,-0.05
2014-05-01,4.5,0.0,-0.03,-0.06
2014-04-01,4.5,-0.01,-0.03,-0.05
2014-03-01,4.6,-0.02,-0.03,-0.04
2014-02-01,4.7,0.0,-0.02,-0.04
2014-01-01,4.7,-0.01,-0.02,-0.05
2013-12-01,4.7,0.0,-0.01,-0.03
2013-11-01,4.7,0.0,0.0,-0.04
2013-10-01,4.7,0.0,-0.01,-0.04
2013-09-01,4.7,0.0,-0.01,-0.06
2013-08-01,4.7,0.0,-0.01,-0.07
2013-07-01,4.8,-0.01,0.0,-0.07
2013-06-01,4.8,0.0,0.0,-0.07
2013-05-01,4.8,0.01,-0.01,-0.08
2013-04-01,4.8,0.0,-0.02,-0.09
2013-03-01,4.8,-0.01,-0.02,-0.08
2013-02-01,4.8,-0.01,-0.01,-0.07
2013-01-01,4.9,0.0,-0.01,-0.07
2012-12-01,4.9,-0.01,-0.03,-0.08
2012-11-01,4.9,-0.01,-0.04,-0.09
2012-10-01,4.9,-0.02,-0.04,-0.09
2012-09-01,5.0,-0.01,-0.03,-0.07
2012-08-01,5.1,-0.01,-0.03,-0.06
2012-07-01,5.1,0.0,-0.03,-0.05
2012-06-01,5.1,-0.01,-0.01,-0.05
2012-05-01,5.2,-0.01,0.0,-0.04
2012-04-01,5.3,0.01,0.01,-0.02
2012-03-01,5.2,0.0,-0.02,-0.04
2012-02-01,5.2,-0.01,-0.03,-0.04
2012-01-01,5.3,-0.01,-0.03,-0.05
2011-12-01,5.3,-0.01,-0.02,-0.05
2011-11-01,5.4,-0.01,0.0,-0.04
2011-10-01,5.4,0.0,0.01,-0.04
2011-09-01,5.4,0.01,0.0,-0.05
