date,tipo de interes,total
2022-07-01,Fijo,75.4
2022-06-01,Fijo,73.0
2022-05-01,Fijo,72.8
2022-04-01,Fijo,75.3
2022-03-01,Fijo,72.7
2022-02-01,Fijo,73.8
2022-01-01,Fijo,70.4
2021-12-01,Fijo,67.7
2021-11-01,Fijo,67.5
2021-10-01,Fijo,67.2
2021-09-01,Fijo,65.7
2021-08-01,Fijo,67.0
2021-07-01,Fijo,68.2
2021-06-01,Fijo,64.1
2021-05-01,Fijo,63.0
2021-04-01,Fijo,58.8
2021-03-01,Fijo,56.7
2021-02-01,Fijo,55.3
2021-01-01,Fijo,51.7
2020-12-01,Fijo,47.9
2020-11-01,Fijo,48.1
2020-10-01,Fijo,48.1
2020-09-01,Fijo,47.7
2020-08-01,Fijo,48.6
2020-07-01,Fijo,51.5
2020-06-01,Fijo,47.6
2020-05-01,Fijo,52.4
2020-04-01,Fijo,51.8
2020-03-01,Fijo,53.0
2020-02-01,Fijo,38.7
2020-01-01,Fijo,41.1
2019-12-01,Fijo,43.6
2019-11-01,Fijo,42.8
2019-10-01,Fijo,45.0
2019-09-01,Fijo,38.4
2019-08-01,Fijo,41.9
2019-07-01,Fijo,43.9
2019-06-01,Fijo,44.1
2019-05-01,Fijo,42.4
2019-04-01,Fijo,43.0
2019-03-01,Fijo,41.8
2019-02-01,Fijo,41.5
2019-01-01,Fijo,37.2
2018-12-01,Fijo,41.2
2018-11-01,Fijo,39.1
2018-10-01,Fijo,39.8
2018-09-01,Fijo,39.9
2018-08-01,Fijo,40.2
2018-07-01,Fijo,40.0
2018-06-01,Fijo,39.2
2018-05-01,Fijo,40.3
2018-04-01,Fijo,39.1
2018-03-01,Fijo,37.8
2018-02-01,Fijo,37.2
2018-01-01,Fijo,37.3
2017-12-01,Fijo,37.4
2017-11-01,Fijo,36.3
2017-10-01,Fijo,36.7
2017-09-01,Fijo,36.4
2017-08-01,Fijo,40.2
2017-07-01,Fijo,37.8
2017-06-01,Fijo,37.7
2017-05-01,Fijo,39.0
2017-04-01,Fijo,39.2
2017-03-01,Fijo,38.4
2017-02-01,Fijo,38.0
2017-01-01,Fijo,36.9
2016-12-01,Fijo,35.0
2016-11-01,Fijo,34.1
2016-10-01,Fijo,32.4
2016-09-01,Fijo,32.7
2016-08-01,Fijo,31.8
2016-07-01,Fijo,27.8
2016-06-01,Fijo,24.0
2016-05-01,Fijo,20.3
2016-04-01,Fijo,15.1
2016-03-01,Fijo,12.9
2016-02-01,Fijo,10.5
2016-01-01,Fijo,10.2
2015-12-01,Fijo,10.3
2015-11-01,Fijo,8.9
2015-10-01,Fijo,9.2
2015-09-01,Fijo,8.7
2015-08-01,Fijo,9.0
2015-07-01,Fijo,9.5
2015-06-01,Fijo,6.4
2015-05-01,Fijo,5.5
2015-04-01,Fijo,5.7
2015-03-01,Fijo,5.3
2015-02-01,Fijo,4.6
