date,precio_vta_alicante,variacion_vta_mensual_alicante,variacion_vta_trimestral_alicante,variacion_vta_anual_alicante
2022-09-01,1872,0.01,0.03,0.11
2022-08-01,1854,0.01,0.03,0.1
2022-07-01,1836,0.01,0.04,0.09
2022-06-01,1815,0.01,0.05,0.08
2022-05-01,1796,0.02,0.05,0.09
2022-04-01,1768,0.02,0.04,0.08
2022-03-01,1735,0.01,0.02,0.07
2022-02-01,1713,0.01,0.02,0.07
2022-01-01,1704,0.0,0.02,0.06
2021-12-01,1697,0.01,0.01,0.05
2021-11-01,1684,0.01,0.0,0.05
2021-10-01,1675,0.0,-0.01,0.03
2021-09-01,1679,0.0,0.0,0.05
2021-08-01,1688,0.0,0.02,0.07
2021-07-01,1689,0.01,0.04,0.09
2021-06-01,1680,0.02,0.04,0.08
2021-05-01,1655,0.02,0.03,0.04
2021-04-01,1632,0.01,0.01,0.04
2021-03-01,1623,0.01,0.01,0.04
2021-02-01,1602,-0.01,-0.01,0.02
2021-01-01,1614,0.0,0.0,0.02
2020-12-01,1612,0.0,0.0,0.03
2020-11-01,1611,0.0,0.02,0.03
2020-10-01,1619,0.01,0.05,0.04
2020-09-01,1606,0.02,0.04,0.02
2020-08-01,1582,0.02,-0.01,0.01
2020-07-01,1546,0.0,-0.02,-0.01
2020-06-01,1551,-0.03,-0.01,0.0
2020-05-01,1596,0.01,0.01,0.04
2020-04-01,1576,0.01,0.0,0.03
2020-03-01,1564,-0.01,0.0,0.03
2020-02-01,1575,0.0,0.01,0.04
2020-01-01,1576,0.01,0.01,0.04
2019-12-01,1563,0.0,0.0,0.03
2019-11-01,1561,0.0,0.0,0.02
2019-10-01,1563,0.0,0.0,0.02
2019-09-01,1570,0.0,0.01,0.03
2019-08-01,1565,0.0,0.02,0.05
2019-07-01,1559,0.0,0.02,0.05
2019-06-01,1555,0.01,0.02,0.06
2019-05-01,1537,0.01,0.01,0.06
2019-04-01,1524,0.0,0.0,0.06
2019-03-01,1524,0.01,0.0,0.07
2019-02-01,1516,0.0,-0.01,0.07
2019-01-01,1521,0.0,0.0,0.08
2018-12-01,1521,0.0,0.0,0.1
2018-11-01,1524,0.0,0.02,0.11
2018-10-01,1529,0.0,0.03,0.11
2018-09-01,1525,0.02,0.04,0.11
2018-08-01,1495,0.01,0.03,0.09
2018-07-01,1482,0.01,0.03,0.08
2018-06-01,1471,0.01,0.03,0.09
2018-05-01,1457,0.01,0.03,0.09
2018-04-01,1442,0.01,0.03,0.08
2018-03-01,1428,0.01,0.03,0.06
2018-02-01,1418,0.01,0.03,0.05
2018-01-01,1406,0.01,0.02,0.04
2017-12-01,1386,0.01,0.01,0.03
2017-11-01,1374,0.0,0.0,0.04
2017-10-01,1381,0.0,0.01,0.05
2017-09-01,1377,0.0,0.02,0.04
2017-08-01,1372,0.0,0.03,0.04
2017-07-01,1373,0.02,0.02,0.05
2017-06-01,1351,0.01,0.0,0.04
2017-05-01,1337,0.0,-0.01,0.02
2017-04-01,1341,0.0,-0.01,0.03
2017-03-01,1348,0.0,0.0,0.03
2017-02-01,1353,0.0,0.03,0.03
2017-01-01,1351,0.01,0.03,0.03
2016-12-01,1342,0.02,0.01,0.02
2016-11-01,1317,0.0,0.0,0.01
2016-10-01,1317,0.0,0.01,0.0
2016-09-01,1323,0.0,0.02,0.0
2016-08-01,1322,0.01,0.01,0.01
2016-07-01,1307,0.0,0.0,0.0
2016-06-01,1302,0.0,0.0,0.0
2016-05-01,1308,0.0,0.0,0.0
2016-04-01,1306,0.0,-0.01,0.01
2016-03-01,1306,0.0,0.0,0.01
2016-02-01,1309,0.0,0.0,0.01
2016-01-01,1314,0.0,-0.01,0.02
2015-12-01,1310,0.0,-0.01,0.03
2015-11-01,1309,-0.01,0.0,0.03
2015-10-01,1322,0.0,0.01,0.04
2015-09-01,1323,0.01,0.02,0.04
2015-08-01,1316,0.01,0.01,0.04
2015-07-01,1305,0.0,0.01,0.04
2015-06-01,1302,0.0,0.01,0.04
2015-05-01,1303,0.01,0.01,0.04
2015-04-01,1296,0.0,0.0,0.05
2015-03-01,1294,0.0,0.01,0.04
2015-02-01,1290,0.0,0.01,0.01
