date,precio_vta_castellon,variacion_vta_mensual_castellon,variacion_vta_trimestral_castellon,variacion_vta_anual_castellon
2022-09-01,1137,0.0,0.01,0.04
2022-08-01,1134,0.0,0.01,0.03
2022-07-01,1130,0.0,0.02,0.02
2022-06-01,1127,0.01,0.03,0.03
2022-05-01,1119,0.01,0.04,0.03
2022-04-01,1111,0.01,0.02,0.04
2022-03-01,1096,0.02,0.0,0.04
2022-02-01,1080,0.0,-0.02,0.03
2022-01-01,1086,-0.01,-0.01,0.01
2021-12-01,1101,0.0,0.01,0.03
2021-11-01,1105,0.01,0.0,0.04
2021-10-01,1092,0.0,-0.01,0.03
2021-09-01,1096,-0.01,0.0,0.03
2021-08-01,1104,0.0,0.02,0.06
2021-07-01,1108,0.01,0.04,0.09
2021-06-01,1100,0.02,0.04,0.1
2021-05-01,1083,0.01,0.03,0.0
2021-04-01,1069,0.01,0.0,-0.02
2021-03-01,1059,0.01,-0.01,-0.03
2021-02-01,1052,-0.02,-0.01,-0.04
2021-01-01,1074,0.0,0.01,-0.01
2020-12-01,1073,0.01,0.01,-0.01
2020-11-01,1061,0.0,0.02,-0.02
2020-10-01,1062,0.0,0.05,-0.03
2020-09-01,1063,0.02,0.06,-0.03
2020-08-01,1042,0.03,-0.04,-0.04
2020-07-01,1012,0.01,-0.07,-0.06
2020-06-01,1002,-0.07,-0.08,-0.07
2020-05-01,1082,-0.01,-0.01,0.01
2020-04-01,1095,0.0,0.01,0.03
2020-03-01,1091,0.0,0.01,0.02
2020-02-01,1092,0.01,0.0,0.01
2020-01-01,1086,0.0,-0.01,0.0
2019-12-01,1083,0.0,-0.01,0.01
2019-11-01,1088,-0.01,0.01,0.0
2019-10-01,1099,0.0,0.02,0.0
2019-09-01,1094,0.01,0.01,0.0
2019-08-01,1082,0.01,0.01,0.01
2019-07-01,1073,-0.01,0.01,0.0
2019-06-01,1082,0.01,0.01,0.01
2019-05-01,1068,0.0,-0.01,0.0
2019-04-01,1067,0.0,-0.02,0.01
2019-03-01,1070,-0.01,-0.01,0.01
2019-02-01,1081,0.0,-0.01,0.02
2019-01-01,1084,0.01,-0.01,0.03
2018-12-01,1078,-0.01,-0.02,0.05
2018-11-01,1090,-0.01,0.01,0.07
2018-10-01,1097,0.0,0.02,0.06
2018-09-01,1096,0.02,0.02,0.07
2018-08-01,1076,0.0,0.01,0.06
2018-07-01,1075,0.01,0.02,0.05
2018-06-01,1069,0.0,0.01,0.06
2018-05-01,1065,0.01,0.0,0.05
2018-04-01,1058,0.0,0.0,0.03
2018-03-01,1062,0.0,0.04,0.04
2018-02-01,1064,0.01,0.04,0.04
2018-01-01,1055,0.03,0.02,0.04
2017-12-01,1023,0.0,-0.01,0.0
2017-11-01,1019,-0.02,0.01,0.0
2017-10-01,1039,0.01,0.02,0.02
2017-09-01,1029,0.02,0.02,0.01
2017-08-01,1013,-0.01,0.0,-0.01
2017-07-01,1023,0.01,0.0,-0.01
2017-06-01,1009,0.0,-0.02,-0.04
2017-05-01,1012,-0.01,-0.01,-0.05
2017-04-01,1025,0.0,0.01,-0.03
2017-03-01,1027,0.0,0.0,-0.04
2017-02-01,1027,0.01,0.01,-0.04
2017-01-01,1019,-0.01,0.0,-0.03
2016-12-01,1028,0.01,0.01,-0.02
2016-11-01,1018,0.0,0.0,-0.02
2016-10-01,1016,0.0,-0.02,-0.03
2016-09-01,1018,0.0,-0.03,-0.03
2016-08-01,1021,-0.01,-0.04,-0.03
2016-07-01,1034,-0.02,-0.02,-0.05
2016-06-01,1053,-0.01,-0.01,-0.04
2016-05-01,1067,0.01,0.0,-0.02
2016-04-01,1060,-0.01,0.01,-0.03
2016-03-01,1066,0.0,0.01,-0.01
2016-02-01,1067,0.02,0.02,-0.03
2016-01-01,1048,0.0,0.0,-0.05
2015-12-01,1052,0.01,0.0,-0.03
2015-11-01,1041,-0.01,-0.01,-0.04
2015-10-01,1051,0.0,-0.03,-0.04
2015-09-01,1053,0.0,-0.04,-0.04
2015-08-01,1056,-0.03,-0.04,-0.03
2015-07-01,1085,-0.01,0.0,-0.01
2015-06-01,1094,0.0,0.01,-0.01
2015-05-01,1094,0.0,0.0,-0.01
2015-04-01,1090,0.01,-0.01,0.0
2015-03-01,1082,-0.01,-0.01,-0.03
2015-02-01,1096,-0.01,0.01,-0.04
2015-01-01,1107,0.02,0.01,-0.03
2014-12-01,1089,0.01,-0.01,-0.07
2014-11-01,1082,-0.01,-0.01,-0.08
2014-10-01,1095,0.0,-0.01,-0.07
2014-09-01,1100,0.01,-0.01,-0.07
2014-08-01,1091,-0.01,-0.01,-0.06
2014-07-01,1102,0.0,0.01,-0.06
2014-06-01,1108,0.0,-0.01,-0.06
2014-05-01,1104,0.01,-0.04,-0.08
2014-04-01,1094,-0.02,-0.04,-0.1
2014-03-01,1116,-0.03,-0.04,-0.1
2014-02-01,1147,0.0,-0.02,-0.08
2014-01-01,1143,-0.02,-0.02,-0.08
2013-12-01,1165,-0.01,-0.02,-0.06
2013-11-01,1176,0.0,0.01,-0.06
2013-10-01,1172,-0.01,0.0,-0.09
2013-09-01,1187,0.02,0.0,-0.06
2013-08-01,1166,-0.01,-0.02,-0.08
2013-07-01,1175,-0.01,-0.03,-0.11
2013-06-01,1182,-0.01,-0.04,-0.12
2013-05-01,1195,-0.01,-0.04,-0.12
2013-04-01,1211,-0.02,-0.03,-0.13
2013-03-01,1238,-0.01,0.0,-0.12
2013-02-01,1248,0.0,0.0,-0.13
2013-01-01,1245,0.0,-0.03,-0.14
2012-12-01,1244,-0.01,-0.01,-0.15
2012-11-01,1252,-0.03,-0.02,-0.15
2012-10-01,1285,0.02,-0.03,-0.11
2012-09-01,1259,-0.01,-0.06,-0.12
2012-08-01,1274,-0.04,-0.07,-0.15
2012-07-01,1328,-0.01,-0.04,-0.12
2012-06-01,1347,-0.01,-0.04,-0.13
2012-05-01,1364,-0.02,-0.04,-0.12
2012-04-01,1387,-0.01,-0.04,-0.12
2012-03-01,1405,-0.02,-0.04,-0.11
2012-02-01,1428,-0.01,-0.04,-0.09
2012-01-01,1448,-0.01,0.01,-0.05
2011-12-01,1467,-0.01,0.02,-0.05
2011-11-01,1480,0.03,-0.01,-0.05
2011-10-01,1441,0.0,-0.05,-0.08
2011-09-01,1435,-0.04,-0.07,-0.07
2011-08-01,1497,-0.01,-0.04,-0.03
2011-07-01,1515,-0.02,-0.04,-0.04
2011-06-01,1542,-0.01,-0.02,-0.03
2011-05-01,1556,-0.01,-0.01,-0.03
2011-04-01,1575,0.0,0.03,-0.01
2011-03-01,1579,0.0,0.02,-0.02
2011-02-01,1573,0.03,0.01,-0.02
2011-01-01,1524,-0.01,-0.02,-0.05
2010-12-01,1543,-0.01,-0.01,-0.04
2010-11-01,1555,0.0,0.01,-0.03
2010-10-01,1561,0.01,-0.01,-0.04
2010-09-01,1552,0.01,-0.02,-0.05
2010-08-01,1539,-0.03,-0.04,-0.08
2010-07-01,1585,0.0,-0.01,-0.07
2010-06-01,1591,0.0,-0.01,-0.06
2010-05-01,1597,0.0,0.0,-0.07
2010-04-01,1599,0.0,0.0,-0.06
2010-03-01,1605,0.01,0.0,-0.07
2010-02-01,1598,0.0,0.0,-0.06
2010-01-01,1600,0.0,-0.01,-0.06
2009-12-01,1606,0.0,-0.02,-0.06
2009-11-01,1604,-0.01,-0.04,-0.08
2009-10-01,1617,-0.01,-0.05,-0.06
2009-09-01,1637,-0.02,-0.03,-0.03
2009-08-01,1668,-0.03,-0.02,-0.01
2009-07-01,1712,0.01,0.01,-0.01
2009-06-01,1688,-0.01,-0.02,-0.03
2009-05-01,1710,0.01,0.01,-0.03
2009-04-01,1696,-0.01,0.0,-0.02
2009-03-01,1718,0.01,0.0,-0.03
2009-02-01,1694,0.0,-0.02,-0.02
2009-01-01,1699,-0.01,-0.01,-0.04
2008-12-01,1714,-0.01,0.02,0.02
2008-11-01,1735,0.01,0.03,0.0
2008-10-01,1723,0.02,0.0,-0.05
2008-09-01,1682,0.0,-0.03,-0.08
2008-08-01,1687,-0.02,-0.05,-0.05
2008-07-01,1726,0.0,0.0,-0.09
2008-06-01,1732,-0.02,-0.02,-0.06
2008-05-01,1770,0.02,0.03,-0.02
2008-04-01,1733,-0.02,-0.02,0.02
2008-03-01,1772,0.03,0.05,-0.01
2008-02-01,1727,-0.03,-0.01,0.07
2008-01-01,1774,0.05,-0.02,0.12
2007-12-01,1684,-0.03,-0.08,0.08
2007-11-01,1737,-0.04,-0.03,0.05
2007-10-01,1818,0.0,-0.04,0.08
2007-09-01,1828,0.03,-0.01,0.19
2007-08-01,1783,-0.06,-0.02,0.0
2007-07-01,1896,0.03,0.11,0.0
2007-06-01,1842,0.01,0.03,0.0
2007-05-01,1816,0.07,0.12,0.0
2007-04-01,1703,-0.05,0.08,0.0
2007-03-01,1794,0.11,0.15,0.0
2007-02-01,1617,0.02,-0.02,0.0
2007-01-01,1583,0.02,-0.06,0.0
2006-12-01,1555,-0.06,0.02,0.0
