date,total,grupos_ipc
2022-09-01,14.6,alimentos y bebidas no alcoholicas
2022-08-01,14.5,alimentos y bebidas no alcoholicas
2022-07-01,14.4,alimentos y bebidas no alcoholicas
2022-06-01,13.7,alimentos y bebidas no alcoholicas
2022-05-01,11.6,alimentos y bebidas no alcoholicas
2022-04-01,10.9,alimentos y bebidas no alcoholicas
2022-03-01,7.2,alimentos y bebidas no alcoholicas
2022-02-01,5.8,alimentos y bebidas no alcoholicas
2022-01-01,4.8,alimentos y bebidas no alcoholicas
2021-12-01,5.2,alimentos y bebidas no alcoholicas
2021-11-01,3.3,alimentos y bebidas no alcoholicas
2021-10-01,1.7,alimentos y bebidas no alcoholicas
2021-09-01,1.6,alimentos y bebidas no alcoholicas
2021-08-01,1.5,alimentos y bebidas no alcoholicas
2021-07-01,1.4,alimentos y bebidas no alcoholicas
2021-06-01,0.8,alimentos y bebidas no alcoholicas
2021-05-01,0.5,alimentos y bebidas no alcoholicas
2021-04-01,0.1,alimentos y bebidas no alcoholicas
2021-03-01,1.7,alimentos y bebidas no alcoholicas
2021-02-01,1.5,alimentos y bebidas no alcoholicas
2021-01-01,1.5,alimentos y bebidas no alcoholicas
2020-12-01,0.6,alimentos y bebidas no alcoholicas
2020-11-01,1.0,alimentos y bebidas no alcoholicas
2020-10-01,1.9,alimentos y bebidas no alcoholicas
2020-09-01,2.5,alimentos y bebidas no alcoholicas
2020-08-01,2.2,alimentos y bebidas no alcoholicas
2020-07-01,2.3,alimentos y bebidas no alcoholicas
2020-06-01,2.7,alimentos y bebidas no alcoholicas
2020-05-01,3.5,alimentos y bebidas no alcoholicas
2020-04-01,3.8,alimentos y bebidas no alcoholicas
2020-03-01,2.1,alimentos y bebidas no alcoholicas
2020-02-01,2.2,alimentos y bebidas no alcoholicas
2020-01-01,2.1,alimentos y bebidas no alcoholicas
2019-12-01,2.0,alimentos y bebidas no alcoholicas
2019-11-01,1.9,alimentos y bebidas no alcoholicas
2019-10-01,1.5,alimentos y bebidas no alcoholicas
2019-09-01,0.8,alimentos y bebidas no alcoholicas
2019-08-01,0.8,alimentos y bebidas no alcoholicas
2019-07-01,0.7,alimentos y bebidas no alcoholicas
2019-06-01,0.4,alimentos y bebidas no alcoholicas
2019-05-01,0.7,alimentos y bebidas no alcoholicas
2019-04-01,1.1,alimentos y bebidas no alcoholicas
2019-03-01,1.3,alimentos y bebidas no alcoholicas
2019-02-01,1.4,alimentos y bebidas no alcoholicas
